GO ID	Reactome Verb
0004705	phosphorylates
0004707	phosphorylates
0004708	phosphorylates
0004709	phosphorylates
0004712	phosphorylates
0004713	phosphorylates
0004714	phosphorylates
0004715	phosphorylates
0004716	phosphorylates
0004740	phosphorylates
0004743	phosphorylates
0004749	phosphorylates
0004765	phosphorylates
0004788	phosphorylates
0008384	phosphorylates
0008440	phosphorylates
0008478	phosphorylates
0008481	phosphorylates
0008531	phosphorylates
0008545	phosphorylates
0008579	DEphosphorylates
0016301	phosphorylates
0016303	phosphorylates
0016308	phosphorylates
0016309	phosphorylates
0017050	phosphorylates
0019201	phosphorylates
0019206	phosphorylates
0034211	phosphorylates
0035004	phosphorylates
0035005	phosphorylates
0035299	phosphorylates
0046899	phosphorylates
0046934	phosphorylates
0047100	phosphorylates
0047325	phosphorylates
0047326	phosphorylates
0050145	phosphorylates
0050331	phosphorylates
0050354	phosphorylates
0052725	phosphorylates
0052726	phosphorylates
0052810	phosphorylates
0052811	phosphorylates
0052812	phosphorylates
0052835	phosphorylates
0052836	phosphorylates
0052839	phosphorylates
0001056	polymerises
0003887	polymerises
0003899	polymerises
0003964	polymerises
0003968	polymerises
0034061	polymerises
0000140	reduces
0000253	reduces
0003920	reduces
0004033	reduces
0004074	reduces
0004128	reduces
0004146	reduces
0004155	reduces
0004362	reduces
0004420	reduces
0004489	reduces
0004601	reduces
0004602	reduces
0004604	reduces
0004735	reduces
0004748	reduces
0004757	reduces
0004791	reduces
0008113	reduces
0008379	reduces
0008752	reduces
0008785	reduces
0030267	reduces
0033560	reduces
0033743	reduces
0036130	reduces
0036131	reduces
0036132	reduces
0036175	reduces
0036185	reduces
0047057	reduces
0047560	reduces
0047598	reduces
0050221	reduces
0050311	reduces
0050613	reduces
0050614	reduces
0050627	reduces
0051920	reduces
0008597	regulates
0017081	regulates
0048270	regulates
0006471	ribosylates
0004871	signals
0008265	sulfates
0031071	sulfates
0000250	synthesizes
0003825	synthesizes
0003849	synthesizes
0003856	synthesizes
0003870	synthesizes
0003874	synthesizes
0003878	synthesizes
0003883	synthesizes
0003921	synthesizes
0004019	synthesizes
0004055	synthesizes
0004087	synthesizes
0004107	synthesizes
0004108	synthesizes
0004122	synthesizes
0004124	synthesizes
0004312	synthesizes
0004325	synthesizes
0004326	synthesizes
0004363	synthesizes
0004373	synthesizes
0004418	synthesizes
0004421	synthesizes
0004464	synthesizes
0004512	synthesizes
0004517	synthesizes
0004639	synthesizes
0004642	synthesizes
0004655	synthesizes
0004666	synthesizes
0004667	synthesizes
0004766	synthesizes
0004796	synthesizes
0004799	synthesizes
0004852	synthesizes
0008116	synthesizes
0008609	synthesizes
0008705	synthesizes
0008897	synthesizes
0016768	synthesizes
0016847	synthesizes
0017084	synthesizes
0030366	synthesizes
0033188	synthesizes
0034038	synthesizes
0035447	synthesizes
0036134	synthesizes
0043874	synthesizes
0045431	synthesizes
0046933	synthesizes
0050220	synthesizes
0050501	synthesizes
0051120	synthesizes
0097260	synthesizes
0097261	synthesizes
0097262	synthesizes
0097263	synthesizes
0097269	synthesizes
0003867	transaminates
0004084	transaminates
0004360	transaminates
0004587	transaminates
0008453	transaminates
0008483	transaminates
0016212	transaminates
0016223	transaminates
0036141	transaminates
0047305	transaminates
0047536	transaminates
0000009	transfers
0000026	transfers
0000030	transfers
0000033	transfers
0000048	transfers
0000309	transfers
0001517	transfers
0001537	transfers
0001733	transfers
0001734	transfers
0002083	transfers
0003810	transfers
0003827	transfers
0003828	transfers
0003829	transfers
0003830	transfers
0003831	transfers
0003835	transfers
0003836	transfers
0003839	transfers
0003840	transfers
0003841	transfers
0003866	transfers
0003871	transfers
0003881	transfers
0003908	transfers
0003919	transfers
0003923	transfers
0003950	transfers
0003975	transfers
0003977	transfers
0003980	transfers
0003983	transfers
0003985	transfers
0003988	transfers
0003999	transfers
0004021	transfers
0004027	transfers
0004032	transfers
0004042	transfers
0004044	transfers
0004059	transfers
0004060	transfers
0004062	transfers
0004069	transfers
0004070	transfers
0004092	transfers
0004095	transfers
0004102	transfers
0004105	transfers
0004134	transfers
0004142	transfers
0004144	transfers
0004145	transfers
0004161	transfers
0004304	transfers
0004306	transfers
0004307	transfers
0004310	transfers
0004311	transfers
0004337	transfers
0004343	transfers
0004364	transfers
0004366	transfers
0004372	transfers
0004376	transfers
0004379	transfers
0004394	transfers
0004422	transfers
0004468	transfers
0004475	transfers
0004478	transfers
0004482	transfers
0004484	transfers
0004514	transfers
0004516	transfers
0004577	transfers
0004578	transfers
0004579	transfers
0004581	transfers
0004582	transfers
0004583	transfers
0004585	transfers
0004588	transfers
0004595	transfers
0004596	transfers
0004603	transfers
0004605	transfers
0004607	transfers
0004608	transfers
0004643	transfers
0004644	transfers
0004648	transfers
0004652	transfers
0004653	transfers
0004659	transfers
0004660	transfers
0004731	transfers
0004758	transfers
0004781	transfers
0004792	transfers
0004801	transfers
0004802	transfers
0004838	transfers
0004850	transfers
0008080	transfers
0008108	transfers
0008112	transfers
0008119	transfers
0008120	transfers
0008146	transfers
0008168	transfers
0008172	transfers
0008173	transfers
0008184	transfers
0008194	transfers
0008260	transfers
0008373	transfers
0008374	transfers
0008375	transfers
0008378	transfers
0008424	transfers
0008444	transfers
0008454	transfers
0008455	transfers
0008458	transfers
0008459	transfers
0008466	transfers
0008467	transfers
0008499	transfers
0008532	transfers
0008775	transfers
0009001	transfers
0009008	transfers
0009055	transfers
0015016	transfers
0015018	transfers
0015019	transfers
0015020	transfers
0015035	transfers
0015036	transfers
0015038	transfers
0015068	transfers
0016206	transfers
0016263	transfers
0016274	transfers
0016279	transfers
0016287	transfers
0016407	transfers
0016409	transfers
0016410	transfers
0016411	transfers
0016416	transfers
0016491	transfers
0016614	transfers
0016616	transfers
0016620	transfers
0016651	transfers
0016653	transfers
0016667	transfers
0016702	transfers
0016706	transfers
0016709	transfers
0016712	transfers
0016722	transfers
0016723	transfers
0016740	transfers
0016746	transfers
0016763	transfers
0016773	transfers
0016780	transfers
0016782	transfers
0016783	transfers
0016860	transfers
0017061	transfers
0017095	transfers
0018708	transfers
0019107	transfers
0030144	transfers
0030158	transfers
0030755	transfers
0030760	transfers
0033823	transfers
0033829	transfers
0035251	transfers
0042799	transfers
0042800	transfers
0043334	transfers
0043337	transfers
0043430	transfers
0044595	transfers
0044596	transfers
0045130	transfers
0046525	transfers
0046539	transfers
0046922	transfers
0046974	transfers
0047144	transfers
0047150	transfers
0047173	transfers
0047184	transfers
0047220	transfers
0047238	transfers
0047280	transfers
0047290	transfers
0047312	transfers
0047328	transfers
0047334	transfers
0047471	transfers
0047756	transfers
0047945	transfers
0047961	transfers
0047962	transfers
0048270	transfers
0050146	transfers
0050211	transfers
0050252	transfers
0050291	transfers
0050294	transfers
0050337	transfers
0050508	transfers
0050509	transfers
0050510	transfers
0050632	transfers
0050633	transfers
0050659	transfers
0051718	transfers
0070224	transfers
0003834	transforms
0004497	transforms
0004498	transforms
0004499	transforms
0004500	transforms
0004502	transforms
0004505	transforms
0004506	transforms
0004507	transforms
0004508	transforms
0004509	transforms
0004510	transforms
0004511	transforms
0008123	transforms
0008746	transforms
0016711	transforms
0019135	transforms
0019825	transforms
0033847	transforms
0047988	transforms
0050051	transforms
0097259	transforms
0000146	translocates
0003774	translocates
0003777	translocates
0000064	transports
0000295	transports
0004931	transports
0005215	transports
0005221	transports
0005231	transports
0005232	transports
0005242	transports
0005243	transports
0005245	transports
0005249	transports
0005253	transports
0005254	transports
0005261	transports
0005262	transports
0005267	transports
0005277	transports
0005310	transports
0005313	transports
0005314	transports
0005319	transports
0005324	transports
0005325	transports
0005326	transports
0005337	transports
0005338	transports
0005353	transports
0005355	transports
0005375	transports
0005381	transports
0005385	transports
0005395	transports
0005456	transports
0005457	transports
0005459	transports
0005461	transports
0005462	transports
0005464	transports
0005487	transports
0005548	transports
0008028	transports
0008320	transports
0008504	transports
0008509	transports
0008513	transports
0008514	transports
0008517	transports
0008519	transports
0008521	transports
0008523	transports
0008526	transports
0015078	transports
0015085	transports
0015093	transports
0015095	transports
0015101	transports
0015111	transports
0015116	transports
0015125	transports
0015129	transports
0015132	transports
0015137	transports
0015139	transports
0015142	transports
0015143	transports
0015149	transports
0015152	transports
0015166	transports
0015168	transports
0015171	transports
0015172	transports
0015179	transports
0015197	transports
0015204	transports
0015207	transports
0015220	transports
0015226	transports
0015227	transports
0015229	transports
0015232	transports
0015234	transports
0015245	transports
0015248	transports
0015250	transports
0015254	transports
0015265	transports
0015267	transports
0015276	transports
0015279	transports
0015291	transports
0015321	transports
0015343	transports
0015347	transports
0015349	transports
0015450	transports
0015467	transports
0016934	transports
0017127	transports
0022803	transports
0022838	transports
0022843	transports
0022857	transports
0033300	transports
0035379	transports
0042954	transports
0045153	transports
0046943	transports
0046964	transports
0050833	transports
0051033	transports
0051119	transports
0055056	transports
0004842	ubiquitinates
0003678	unwinds
0003724	unwinds
0004004	unwinds
0004386	unwinds
